car_ID,CarName,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,horsepower,price,engine ,engine cc,mileage,mileage kmpl
1,alfa-romero giulia,convertible,rwd,88.6,168.8,64.1,48.8,111,13495,1248 CC,1248,23.4 kmpl,23.4
2,alfa-romero stelvio,convertible,rwd,88.6,168.8,64.1,48.8,111,16500,1249 CC,1249,21.14 kmpl,21.14
3,alfa-romero Quadrifoglio,hatchback,rwd,94.5,171.2,65.5,52.4,154,16500,1250 CC,1250,17.7 kmpl,17.7
4,audi 100 ls,sedan,fwd,99.8,176.6,66.2,54.3,102,13950,1251 CC,1251,23.0 kmpl,23
5,audi 100ls,sedan,4wd,99.4,176.6,66.4,54.3,115,17450,1252 CC,1252,16.1 kmpl,16.1
6,audi fox,sedan,fwd,99.8,177.3,66.3,53.1,110,15250,1253 CC,1253,20.14 kmpl,20.14
7,audi 100ls,sedan,fwd,105.8,192.7,71.4,55.7,110,17710,1254 CC,1254,17.3 kmpl,17.3
8,audi 5000,wagon,fwd,105.8,192.7,71.4,55.7,110,18920,1255 CC,1255,16.1 kmpl,16.1
9,audi 4000,sedan,fwd,105.8,192.7,71.4,55.9,140,23875,1256 CC,1256,23.59 kmpl,23.59
10,audi 5000s (diesel),hatchback,4wd,99.5,178.2,67.9,52,160,17859.167,1257 CC,1257,20.0 kmpl,20
11,bmw 320i,sedan,rwd,101.2,176.8,64.8,54.3,101,16430,1258 CC,1258,19.01 kmpl,19.01
12,bmw 320i,sedan,rwd,NA,176.8,64.8,54.3,101,16925,1259 CC,1259,17.3 kmpl,17.3
13,bmw x1,sedan,rwd,101.2,176.8,64.8,54.3,121,20970,1260 CC,1260,19.3 kmpl,19.3
14,bmw x3,sedan,rwd,101.2,176.8,64.8,54.3,121,21105,,,,
15,bmw z4,sedan,rwd,103.5,189,66.9,55.7,121,24565,1061 CC,1061,18.9 kmpl,18.9
16,bmw x4,sedan,rwd,103.5,189,66.9,55.7,182,NA,1198 CC,1198,18.15 kmpl,18.15
17,bmw x5,sedan,rwd,103.5,193.8,67.9,53.7,182,41315,1248 CC,1248,24.52 kmpl,24.52
18,bmw x3,sedan,rwd,110,197,70.9,56.3,182,36880,1396 CC,1396,23.0 kmpl,23
19,chevrolet impala,hatchback,fwd,88.4,141.1,60.3,53.2,48,5151,796 CC,796,19.7 kmpl,19.7
20,chevrolet monte carlo,hatchback,fwd,94.5,155.9,63.6,52,70,6295,1396 CC,1396,22.54 kmpl,22.54
21,chevrolet vega 2300,sedan,fwd,94.5,158.8,63.6,52,70,6575,1461 CC,1461,21.0 kmpl,21
22,dodge rampage,hatchback,fwd,93.7,157.3,63.8,50.8,68,5572,1498 CC,1498,25.5 kmpl,25.5
23,dodge challenger se,hatchback,fwd,93.7,157.3,63.8,50.8,68,6377,1248 CC,1248,26.59 kmpl,26.59
24,dodge d200,hatchback,fwd,93.7,157.3,63.8,50.8,102,7957,1248 CC,1248,21.5 kmpl,21.5
25,dodge monaco (sw),hatchback,rwd,93.7,157.3,63.8,50.6,68,6229,1199 CC,1199,20.3 kmpl,20.3
26,dodge colt hardtop,sedan,fwd,93.7,157.3,63.8,50.6,68,6692,1197 CC,1197,21.4 kmpl,21.4
27,dodge colt (sw),sedan,fwd,93.7,157.3,63.8,50.6,68,7609,796 CC,796,24.7 kmpl,24.7
28,dodge coronet custom,sedan,fwd,93.7,157.3,63.8,50.6,102,8558,1248 CC,1248,18.2 kmpl,18.2
29,dodge dart custom,wagon,fwd,103.3,174.6,64.6,59.8,88,8921,1061 CC,1061,18.9 kmpl,18.9
30,dodge coronet custom (sw),hatchback,fwd,95.9,173.2,66.3,50.2,145,12964,796 CC,796,16.8 kmpl,16.8
31,honda civic,hatchback,fwd,86.6,144.6,63.9,50.8,58,6479,1248 CC,1248,24.3 kmpl,24.3
32,honda civic cvcc,hatchback,fwd,86.6,144.6,63.9,50.8,76,6855,,,,
33,honda civic,hatchback,fwd,93.7,150,64,52.6,60,5399,796 CC,796,14.0 kmpl,14
34,honda accord cvcc,hatchback,fwd,93.7,150,64,52.6,76,6529,1197 CC,1197,18.6 kmpl,18.6
35,honda civic cvcc,hatchback,fwd,93.7,150,64,52.6,76,7129,1248 CC,1248,24.3 kmpl,24.3
36,honda accord lx,sedan,fwd,96.5,163.4,64,54.5,76,7295,796 CC,796,33.44 km/kg,33.44
37,honda civic 1500 gl,wagon,fwd,96.5,157.1,63.9,58.3,76,7295,998 CC,998,23.95 kmpl,23.95
38,honda accord,hatchback,fwd,96.5,167.5,65.2,53.3,86,7895,1591 CC,1591,17.0 kmpl,17
39,honda civic 1300,hatchback,fwd,96.5,167.5,65.2,53.3,86,9095,1198 CC,1198,20.63 kmpl,20.63
40,honda prelude,sedan,fwd,NA,175.4,65.2,54.1,86,8845,2179 CC,2179,13.93 kmpl,13.93
41,honda accord,sedan,fwd,96.5,175.4,62.5,54.1,86,10295,796 CC,796,16.1 kmpl,16.1
42,honda civic,sedan,fwd,96.5,175.4,65.2,54.1,101,12945,1368 CC,1368,16.0 kmpl,16
43,honda civic (auto),sedan,fwd,96.5,169.1,66,51,100,10345,1497 CC,1497,17.8 kmpl,17.8
44,isuzu MU-X,sedan,rwd,94.3,170.7,61.8,53.5,78,6785,1497 CC,1497,16.8 kmpl,16.8
45,isuzu D-Max ,sedan,fwd,94.5,155.9,63.6,52,70,8916.5,1197 CC,1197,18.5 kmpl,18.5
46,isuzu D-Max V-Cross,sedan,fwd,94.5,155.9,63.6,52,70,8916.5,1248 CC,1248,24.3 kmpl,24.3
47,isuzu D-Max ,hatchback,rwd,96,172.6,65.2,51.4,90,11048,998 CC,998,23.95 kmpl,23.95
48,jaguar xj,sedan,rwd,113,199.6,69.6,52.8,176,32250,2982 CC,2982,12.55 kmpl,12.55
49,jaguar xf,sedan,rwd,113,199.6,69.6,52.8,176,35550,2494 CC,2494,12.99 kmpl,12.99
50,jaguar xk,sedan,rwd,102,191.7,70.6,47.8,262,36000,2143 CC,2143,14.8 kmpl,14.8
51,maxda rx3,hatchback,fwd,93.1,159.1,64.2,54.1,68,5195,1498 CC,1498,24.7 kmpl,24.7
52,maxda glc deluxe,hatchback,fwd,93.1,159.1,64.2,54.1,68,6095,2477 CC,2477,13.5 kmpl,13.5
53,mazda rx2 coupe,hatchback,fwd,93.1,159.1,64.2,54.1,68,6795,1498 CC,1498,26.0 kmpl,26
54,mazda rx-4,sedan,fwd,93.1,166.8,64.2,54.1,68,6695,1462 CC,1462,20.65 kmpl,20.65
55,mazda glc deluxe,sedan,fwd,93.1,166.8,64.2,54.1,68,7395,1498 CC,1498,27.3 kmpl,27.3
56,mazda 626,hatchback,rwd,95.3,169,65.7,49.6,101,10945,2755 CC,2755,11.36 kmpl,11.36
57,mazda glc,hatchback,rwd,95.3,169,65.7,49.6,101,11845,2494 CC,2494,12.99 kmpl,12.99
58,mazda rx-7 gs,hatchback,rwd,95.3,169,65.7,49.6,101,13645,1968 CC,1968,17.68 kmpl,17.68
59,mazda glc 4,hatchback,rwd,95.3,169,65.7,49.6,135,15645,1798 CC,1798,14.28 kmpl,14.28
